id,referenceNumber,availabilities,title,alternativeTitles,workType,physicalDescription,genres,subjects,contributors,production.dates,production.agents,production.places,languages,description,lettering,duration,images,thumbnail.license.label,thumbnail.url,collection.url
fmg2ad8u,,['Closed stores'],Tom Boulton in interview with Lady Wendy Ball. Part 1.,,Videos,"1 videocassette (VHS) : sound, color, PAL.","['Videocassettes', 'Interviews, Recorded', 'Memoirs']","['Anesthesia', 'Physicians', 'Boulton, Tom.']",,"UK : Oxford Brookes University, 1998.",['Oxford Brookes University'],['UK'],['English'],"<p>Main subjects: childhood and education; St Bartholemew's Medical School; National Service, North Malaya; anaesthesia at St Bartholomew's; CL Hewer; Frankis T Evans; University of Michigan; John Alfred Lee; cardiac anaesthesia and intensive care at St Bartholemew's; anaesthesia in Vietnam.</p>",,,,,,https://wellcomecollection.org/works/fmg2ad8u
pfathxx8,,['Closed stores'],Feral children.,,Videos,"1 videocassette (VHS) (60 min.) : sound, color, PAL.",['Videocassettes'],"['Feral children', 'Child Abuse']","['Perry, Bruce D. (Bruce Duncan), 1955-', 'Law, James Christopher, 1956-2021.', 'Chalaya, Anna.', 'Blair, Linda, 1959-', 'Newton, Michael (Michael Stuart), 1965-', 'Zhukova, Anna.', 'Fry, Lyn.', 'Nagorny, Vladimir.', 'Linley, Frank.', 'Curtiss, Susan.', 'Kent, James, active 1877-1878.', 'Sviridova, L. A. (Larisa A.)']","UK : Channel 4, 2006.",['Channel 4'],['UK'],['English'],"<p>The last  in a series of four programmes looking at some of the more unexpected workings of the mind. This part features feral children - are they  the natural experiment that allows us to confront the nature / nurture debate? The programme is focused around the story of 13-year-old Oxana Malaya who, at 3-years-old, was left to sleep with the family pet dogs as her parents were alcoholics. By the time she was 8 she was behaving more like a dog than a human - we see how she has progressed since then. Other stories include the harrowing tale of Jeannie Wiley in the 1970s who for 13 years was kept in silence in a dark room, strapped into a potty chair by day and left to sleep in a chicken wire cage by night. We also see archive footage of Kellogg's experiments with a monkey companion for his baby son and Harry Harlow's experiments on monkeys. The programme ends as Oxana is reunited with her father and one of her sisters.</p>",,,,,,https://wellcomecollection.org/works/pfathxx8
tjdzb5s8,,['Closed stores'],"The Wellcome Trust in Thailand : malaria, rabies and snakebite.",,Videos,"1 videocassette (VHS) (8 min.) : sound, color PAL.<br/>1 videocassette (DIGI BETA) (8 min.) : sound, color PAL.<br/>1 videocassette (UMATIC) (8 min.) : sound, color PAL.<br/>1 DVD (8 min.) : sound, color","['Videocassettes', 'DVDs']","['Tropical Medicine', 'Rabies', 'Quinine', 'administration & dosage', 'Malaria', 'drug therapy']",,"UK, 1987.",,"['UK,']",['English'],"<p>Portrays the work of the Wellcome Trust-supported clinical research unit for the study of severe malaria, rabies and snake-bite in the Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand. Shows clinical studies of intravenous quinine therapy in cases of severe malaria, the use of tissue culture in the production of rabies vaccine and the management of patients bitten by Malayan pit vipers.</p>",,,,,,https://wellcomecollection.org/works/tjdzb5s8
dzcsercm,,['Online'],"The Wellcome Trust in Thailand : malaria, rabies and snakebite.",,Videos,"1 encoded moving image (7.40 min.) : sound, color",['Encoded moving images'],"['Snake Venoms', 'Tropical Medicine', 'Rabies', 'Quinine', 'administration & dosage', 'Malaria', 'drug therapy', 'Mahāwitthayālai Mahidon. Khana Wētchasāt Khētrō̜n']",,"UK, 1987.",,"['UK,']",['English'],"<p>Portrays the work of the Wellcome Trust-supported clinical research unit for the study of severe malaria, rabies and snake-bite in the Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand. Shows clinical studies of intravenous quinine therapy in cases of severe malaria, the use of tissue culture in the production of rabies vaccine and the management of patients bitten by Malayan pit vipers.  2 segments.</p>",,460.0,,,,https://wellcomecollection.org/works/dzcsercm
d2jzb5w7,,['Closed stores'],Pandemic.,,Videos,"1 videocassette (VHS) (50 min.) : sound, color, PAL.","['Videocassettes', 'Documentary television programmes']","['Acquired Immunodeficiency Syndrome', 'HIV']",,"[Place of publication not identified] : BBC TV, 1993.",['BBC TV'],['[Place of publication not identified]'],['English'],"<p>""Part 8: Pandemic"" Compares government response to AIDS in Sydney, Florida and Thailand.</p>",,,,,,https://wellcomecollection.org/works/d2jzb5w7
ftgpp8c6,,['Closed stores'],Once bitten.,,Videos,"1 videocassette (VHS) (30 min.) : sound, color, PAL.","['Videocassettes', 'Documentary television programmes']","['Tropical Medicine', 'Research']",,"[Place of publication not identified] : [publisher not identified], 1987.",['[publisher not identified]'],['[Place of publication not identified]'],['English'],"<p>Documentary featuring the Wellcome Trust- sponsored research of Drs David and Mary Warrell into snakebite, rabies and malaria at the Bangkok Hospital for Tropical Diseases, Thailand.</p>",,,,,,https://wellcomecollection.org/works/ftgpp8c6
r4drtdkr,,['Closed stores'],Healthfile : it's your choice. Episode 13.,,Videos,"1 videocassette (VHS) : sound, color, PAL.",['Videocassettes'],"['Thalassemia', 'prevention & control', 'Antimalarials', 'Smoking Cessation']",,"[Place of publication not identified] : [publisher not identified], [date of publication not identified]",['[publisher not identified]'],['[Place of publication not identified]'],['English'],<p>Episode 13: Includes items on thalassaemia eradication in Cyprus; community medical care in Alaska; Australian aboriginal medicine; Medecin Sans Frontieres providing anti-malaria education in Thailand; and anti-smoking campaigns in Britain.</p>,,,,,,https://wellcomecollection.org/works/r4drtdkr
qptrntvz,,['Closed stores'],Healthfile : it's your choice. Episode 7.,,Videos,"1 videocassette (VHS) (29 min.) : sound, color, PAL.",['Videocassettes'],"['Infertility', 'Acquired Immunodeficiency Syndrome']",,"[Place of publication not identified] : [publisher not identified], [date of publication not identified]",['[publisher not identified]'],['[Place of publication not identified]'],['English'],"<p>Episode 7: Includes items on infertility - male and female causes; a highly successful prosthesis production enterprise in Jaipur, India; sea urchin research in the Red Sea; a Macao leper colony; and AIDS in Thailand.</p>",,,,,,https://wellcomecollection.org/works/qptrntvz
danrm67z,,['Closed stores'],Malaria.,,Videos,"1 videocassette (VHS) : sound, color, PAL.","['Videocassettes', 'Documentary television programmes']","['Culicidae', 'Tropical Medicine', 'Malaria', 'prevention & control', 'Plasmodium malariae']",,"England, 1985.",,"['England,']",['English'],"<p>Shows the life cycle of the anopheles mosquito and explains how the action of the plasmodium parasite causes the symptoms of malaria. Provides an overview of malaria prevention and control in Africa, India and Thailand.</p>",,,,,,https://wellcomecollection.org/works/danrm67z
h9ks3pp8,,['Closed stores'],Fatal latitudes.,,Videos,"1 videocassette (VHS) (60 min.) : sound, color, PAL.","['Videocassettes', 'Documentary television programmes']","['Malaria', 'drug therapy', 'AIDS Vaccines', 'Malaria, Cerebral', 'Drug Resistance']","['Greenwood, B. (Brian)', 'White, Nicholas.', 'Barron, Brian.']","[Place of publication not identified] : BBC-TV, 1993.",['BBC-TV'],['[Place of publication not identified]'],['English'],"<p>Malaria in the Gambia, Cambodia and Vietnam is becoming a drug-resistant disease, with cerebral malaria needing the most urgent action. In Asia the Thailand/Cambodia border is the epicentre of the disease. Thousands of Thai prospectors seeking precious stones in the border area return home with the malaria parasite in their blood. Self-medication then gives rise to drug resistant malaria. Dr. Nicholas White (University of Oxford) forecast disaster for these countries unless incentives are provided for research into new treatments. The best hope, meanwhile, seems to lie in an ancient chinese plant remedy for cerebral malaria. The film also looks at Thailand's battle against AIDS, begun too late to stem the epidemic. Funding for malaria treatment has fallen off in favour of research into an AIDS vaccine - although malaria is by far the greater killer.</p>",,,,,,https://wellcomecollection.org/works/h9ks3pp8
fhp3ru8r,,['Closed stores'],The end of the beginning.,,Videos,"1 videocassette (VHS) (60 min.) : sound, color, PAL.","['Videocassettes', 'Documentary television programmes']","['Acquired Immunodeficiency Syndrome', 'history', 'Homosexuality', 'HIV Infections', 'transmission', 'Heterosexuality', 'Blood Transfusion']","['Fauci, Anthony S., 1940-']","[Place of publication not identified] : Channel 4 TV, 1993.",['Channel 4 TV'],['[Place of publication not identified]'],['English'],"<p>A four part series examining the history of AIDS in the developed world and Africa, with particular reference to its effect on homosexual life in the U.S. and Britain. It traces the spread of the disease to heterosexuals, the role of blood transfusions and the dispute between the U.S.A. and France over the ownership of the HIV test. The action of gay pressure groups against pharmaceutical companies is given in detailed coverage. ""Part 4: The End of the Beginning""Realisation in Britain that heterosexuals are at risk from AIDS; the legal question of wilful infection by HIV; Dr. Peter Duesberg claims that AIDS is not caused by HIV; developments in the Gallo-Institut Pasteur wrangle; French scandal of HIV contaminated blood used in transfusions for haemophiliacs - ill will towards the U.S.A. over the Gallo affair caused France to delay introduction of a blood donor test for HIV until a French version of the test was available; state of the epidemic in Thailand, India and the West.</p>",,,,,,https://wellcomecollection.org/works/fhp3ru8r
axwg33d4,,['Closed stores'],World's tallest children.,,Videos,"1 DVD (60 min.) : sound, color, PAL.",['DVDs'],['Child Development'],"['Cameron, Noël.', 'Glenday, Craig, 1973-']","UK : ITV, 2009.",['ITV'],['UK'],['English'],"<p>This documentary introduces us to the tallest known children in the world today; some are naturally tall and others have medical conditions that have determined their size. 13-year-old Brendan Adams is over 7 foot tall and is thought to be the tallest child in the world. He has a very rare genetic condition which also makes his joints swollen - walking is very painful. The van Ness family are the tallest family in Britain; every member is well above average including the mum and dad. Craig Glenday, editor of the Guinness Book of World Records travels to Thailand to meet 17-year-old Marley who is possibly the tallest woman in the world. She has a tumour on her pituitary gland and unless it is treated she will continue to get taller - as her family is so poor they can't afford the medicine unless she earns money from her status as the tallest girl in the world. Angelique Cooper is, at 8-years-old, the height of an average 10-year-old. She's inherited her height from her father who is 6,10."" He is concerned that she will inherit his large height and takes her to see Professor Noel Cameron in order to predict her future height. A Jamaican girl, Marvadine, is 15-years-old and is 6,9"" tall; her sister is just 4 inches shorter.</p>",,,,,,https://wellcomecollection.org/works/axwg33d4
tch5ukd7,,['Closed stores'],"Science at war. Pt. 2, The enemy of all mankind.",,Videos,"1 video cassette (VHS) (50 min.) : sound, color, PAL",['Videocassettes'],"['Sino-Japanese War, 1937-1945']",,"[Place of publication not identified] : BBC TV, 1998.",['BBC TV'],['[Place of publication not identified]'],['English'],"<p>In the 1930s Japan developed a biological warfare programme to strengthen its hold on China which it invaded in 1937.  The water supplies of small Chinese towns were infected with laboratory-grown bacteria as an experiment and samples were taken from victims who were then murdered.  Chinese men were also rounded up for use in germ warfare experiments, which included anthrax spores, bubonic plague and glanders.  The Japanese also set up germ warfare centres in Manchuria, Thailand and Singapore.  Throughout the 1940s they field-tested bombs containing anthrax spores and even collected plague-infected fleas which were packed into bombs and dropped over China.  Britain experimented with anthrax in 1942 on the island of Gruinard.  There is film of these experiments, in which sheep were used to test the spread and toxicity of the anthrax organism.  However, germ 'bombs' were never put into mass production in Britain.  Japanese efforts to produce a war-winning weapon were finally defeated by the US atom bomb; and after World War II germ warfare research became a serious business in the US.  That country gave an undertaking that it would be for defence purposes only, but elsewhere in the world biological weapons research was directed towards aggressive as well as defensive ends, with Iraq causing current concern over its holdings and their potential use.</p>",,,,,,https://wellcomecollection.org/works/tch5ukd7
hw6wv7dn,,['Closed stores'],Middle sex.,,Videos,"1 video cassette (VHS) (90 min.) : sound, color, PAL",['Videocassettes'],"['Disorders of Sex Development', 'Transsexualism']","['Pfaus, James.', 'Khan, Shivananda.', 'Winter, Sam.', 'Wright, Lester.', 'Dreger, Alice Domurat.', 'Fausto-Sterling, Anne, 1944-', 'Gooren, Louis.', 'Roughgarden, Joan.', 'Sipe, A. W. Richard, 1932-2018.', 'Diamond, Milton.']","[Place of publication not identified] : Channel 4, 2005.",['Channel 4'],['[Place of publication not identified]'],['English'],"<p>A study of transsexuality which includes detailed stories from transsexuals and accounts from professionals in the area of human sexuality. The programme begins with the tragic story of Gwen Araujo who was murdered by a group of young men, two of which were former lovers, when they discovered she was a male. Transsexuals Calpernia Addams and Andrea James who run a website for transsexual people discuss their sexuality. Max Beck, born a hermaphrodite (intersex), tells how he was raised a girl but later on while settled in a lesbian relationship decided to begin to live as a male. Professor Maria Patino was disqualified as an Olympic athlete when blood tests revealed her to be a 'man' despite her living her life since birth as female. We see Noah, a 10-year-old transsexual child and his family trying to come to terms with his sexuality. Louis Gooren in Amsterdam talks about latest research into brain scans of transsexuals. We also hear about transsexuality in different cultures - a young Indian man becomes a woman, and in Thailand so-called 'lady boys' talk about how their transsexuality has affected their lives. The programme ends by looking again at the aggression transsexuals are frequently confronted with. Lester Wright narrates the findings of his 1996 study to assess how much of homophobia might be an aggression stemming from the denial / self-deception of the homophobe towards their own ambiguous sexuality.</p>",,,,,,https://wellcomecollection.org/works/hw6wv7dn
nrv7pvyp,,['Online'],Wellcome Film showreel.,,Videos,"1 encoded moving image (06:34 min.) : sound & silent, black and white & color",['Encoded moving images'],,,"UK : JCA.tv Ltd, 2009.",['JCA.tv Ltd'],['UK'],['English'],<p>Showreel to launch Wellcome Film with a variety of clips from the digitised collection.</p>,,394.0,,,,https://wellcomecollection.org/works/nrv7pvyp
tub6g485,,['Closed stores'],SARS the true story.,,Videos,"1 video cassette (VHS) (50 min.) : sound, color, PAL.<br/>1 DVD (50 min.) : sound, color, PAL.","['Videocassettes', 'DVDs']",,"['Ryan, Mike.', 'Stohr, Klaus.', 'Basrur, Sheila.', 'Leahy, Mike.']","[Place of publication not identified] : BBC TV, 2003.",['BBC TV'],['[Place of publication not identified]'],['English'],"<p>Horizon tells the story of the Severe Acute Respiratory Syndrome (SARS) epidemic from the point of view of the World Health Organization (WHO) which had the task of containing this dangerous viral illness.  The WHO was first alerted by Dr. Carlo Obani of Hanoi who was alarmed at the symptoms of one of his hospital patients.  Dr. Obani was unaware that the virus was already spreading through the hospital and in a short time, 60 patients died from it.  Dr. Obani also became fatally infected.  There had been rumours of a fatal disease spreading through Guandong, China, but China issued no warning and took no action.  By the time the urgency of the situation was recognised, the virus had already spread across the border to Hong Kong and from Hong Kong its route was open to the rest of the world.  At WHO Headquarters, Geneva, the Global Awareness and Response Unit took the unusual step of implementing its war plan.  As well as Hong King and Vietnam, Singapore and Canada were already experiencing cases of SARS.  This was the name give to it by the WHO.  They announced a worldwide alert and sent out guidelines to hospitals.  Even as they were setting up these precautions, new cases were identified in Indonesia, the Philippines, Thailand and Germany.  It was an urgent matter to identify the virus so the world's top microbiologists were asked to co-operate with each other in the search.  The index case - the first person to contract the illness - was identified, Dr. Jianlun Liu, a Chinese doctor, who had carried the virus to Hong Kong.  Method of tranmission was established and a breakthrough occurred with the isolation of the virus from a patient.  It proved to be a corona virus which normally causes nothing worse than the common cold in humans, but this one had changed; probably an animal virus, it was likely that it had jumped species in Guandong, China, where people live at close quarters with their livestock.  The human immune system is unprepared for the onslaught of new virus and the results can be lethal.  There is no antidote for SARS; patients can be supported but ultimately the strenght of their immune systems resovles the battle one way or another.  Four weeks after the start of the outbreak the WHO had identified the virus and its likely origin.  But the disease was still spreading and there was doubt as to whether the WHO was in control of the outbreak.  As panic mounted, however, the WHO's tactics began to take effect.  Countries co-ordinated their resistance; Singapore screened everyone entering and leaving the country; hospitals screened patients, doctors and visitors and in Toronto 10,000 people were asked to go into voluntary quarantine.  A medical team in Canada cracked the virus's genetic code and the virus was found to be barely mutating (unlike the HIV virus).  If it remains stable there is a chance of developing a vaccine - but not in the near future.  China's outbreak proved to be far greater than the country had admitted, but even so, the worst is now know about SARS and its death rate is lower than in severe outbreaks of influenza.  The task is now to contain it within China, with the aim of eradicating it.  This programme was filmed in Hanoi, Guandong, Hong Kong, Geneva, Ontario and Toronto.  Contributors include Dr. Mike Ryan (Global Awareness and Response Unit, WHO), Dr. Klaus Stohr (influenza specialist, WHO), Dr. Sheila Basrur (Medical Office of Health, Toronto), Dr. Mike Leahy (virologist).</p>",,,,,,https://wellcomecollection.org/works/tub6g485
