id,referenceNumber,availabilities,title,alternativeTitles,workType,physicalDescription,genres,subjects,contributors,production.dates,production.agents,production.places,languages,description,lettering,duration,images,thumbnail.license.label,thumbnail.url,collection.url
ksmvzyjm,676621i,"['Closed stores', 'Online']","Numerous makes of condom from across the world from 'Tulipan' condoms in Argentina to 'King' condoms in Malaysia; with a message about safety when travelling abroad 'Travel against HIV ... The safest course is to bring condoms from Norway'; a safe-sex and AIDS prevention advertisement by the Landsforeningen MOT AIDS, RFSU Norge AS and LNU. Colour lithograph by Jensen-Grey, 1992.",,Pictures,"1 print : lithograph, printed in colours ; sheet 99.9 x 69.8 cm","['Lithographs', 'Posters']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Safe sex in AIDS prevention', 'Condoms', 'Oslo (Norway)']",,"[Oslo (Norway)] : [publisher not identified], 6/[19]92.",['[publisher not identified]'],['[Oslo (Norway)]'],['English'],,"Reiseforsikringen mot HIV. Landsforeningen MOT AIDS, RFSU Norge AS, LNU. NB! Det sikreste er å ta med kondomer fra norge. Takk til: Helsedirektoratet, UNI Storebrant A/S, Postparebanken, Europeiske Reiseforsikring A/S, Prosjekt HIV Reiseliv/Bergen kommune og Jensen-Grey A/S. Jensen-Grey. Reclamo Ryen 6.92.

Bears logo: RFSU (the Swedish Association for Sexuality Education) Norge AS

Bears logo: AIDS Landsforeningen Mot (Norwegian AIDS Association)

Bears logo: LNU (The Norwegian Children and Youth Council)

Includes text on how HIV is transmitted through unsafe intercourse translated in English, Norwegian, French, Russian and German.",,['fqpa4cq2'],Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),"https://iiif.wellcomecollection.org/thumbs/b16766210_l0054378.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/ksmvzyjm
wjznvnaj,30767i,"['Closed stores', 'Online']",Sarawak: two Lisum women. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Lisum women, Rejang District""",,['y7xt93r5'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037445/full/300,/0/default.jpg",https://wellcomecollection.org/works/wjznvnaj
vr4g2qa6,,"['Online', 'Closed stores']",MS Malay 2 part 7,,Archives and manuscripts,"Material: paper; 12 pp.; leaf dimensions: width 21 cm, height 34 cm",,,,Malaysia,,['Malaysia'],['Malay'],"Two notes on the magician's activity in relation to tin mining, collected in a government file. 
                                The notes on the file indicated they were collected in response from to an inquiry from Hervey 
                                of 29 July 1892. The notes have been romanized by Mohammed Jaafar;
                                the Arabic originals are missing.",,,,Public Domain Mark,"https://iiif.wellcomecollection.org/thumbs/b14850047_wms_malay_2_b14850047_0001.JP2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/vr4g2qa6
ee7xsqfz,30641i,"['Closed stores', 'Online']",Sarawak: a Ukit man. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Portrait photographs', 'Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Lujai, an Ukit of the Upper Rejang""",,['cxatbcpa'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037430/full/300,/0/default.jpg",https://wellcomecollection.org/works/ee7xsqfz
jfj5dxn2,30686i,"['Closed stores', 'Online']",Sarawak: people of the Sibuyaus tribe from the Lundu region. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Sibuyaus of Lundu""",,['ncpp4sx3'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037434/full/300,/0/default.jpg",https://wellcomecollection.org/works/jfj5dxn2
jun3e728,30606i,"['Closed stores', 'Online']",Sarawak: people of a Long Pokun tribe from the Upper Tinjar region. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Group portraits', 'Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Long Pokuns, Upper Tinjar""",,['bwxzzz5p'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037425/full/300,/0/default.jpg",https://wellcomecollection.org/works/jun3e728
mwfpmeru,30635i,"['Closed stores', 'Online']",Sarawak: a Ukit man. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Portrait photographs', 'Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Lujai, an Ukit of the Upper Rejang""",,['tkjx4dge'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037429/full/300,/0/default.jpg",https://wellcomecollection.org/works/mwfpmeru
twxp8pun,30681i,"['Closed stores', 'Online']",Sarawak: a Bakatan man. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""a Bakatan""",,['cnznby2q'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037433/full/300,/0/default.jpg",https://wellcomecollection.org/works/twxp8pun
ym46wrar,30742i,"['Closed stores', 'Online']",Sarawak: a tribe by the Paran River in the Rejang district. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Rivers', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Paran River, Rejang District""",,['xpnmz7q6'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037441/full/300,/0/default.jpg",https://wellcomecollection.org/works/ym46wrar
z7eudph3,31385i,"['Closed stores', 'Online']",Sarawak: three Lirong boys and one girl. Photographs.,,Pictures,"2 photographs : photoprints, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Lirong youths; a Lirong girl""",,['k527x36x'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037455/full/300,/0/default.jpg",https://wellcomecollection.org/works/z7eudph3
qm5ew42m,30149i,"['Closed stores', 'Online']","Kuching, Sarawak: the Public Offices. Photograph.",,Pictures,"1 photograph : photoprint, platinum ; 10.5 x 14.8 cm","['Platinum prints', 'Photographs']",['Malaysia'],,,,,['English'],,"Lettering on mount reads ""the public offices, Kuching""",,['f9pt7gsw'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037395/full/300,/0/default.jpg",https://wellcomecollection.org/works/qm5ew42m
ub6mejf8,30142i,"['Closed stores', 'Online']","Kuching, Sarawak: the Astana, a partly castellated building. Photograph.",,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14 cm","['Platinum prints', 'Photographs']",['Malaysia'],,,,,['English'],,"Lettering on mount reads ""the Astana""",,['c8yxrsjs'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037394/full/300,/0/default.jpg",https://wellcomecollection.org/works/ub6mejf8
w7ky3e8f,30150i,"['Closed stores', 'Online']","Kuching, Sarawak: the police station. Photograph.",,Pictures,"1 photograph : photoprint, platinum ; 10.5 x 14.8 cm","['Platinum prints', 'Photographs']",['Malaysia'],,,,,['English'],,"Lettering on mount reads ""the police station, Kuching""",,['e8tb2ged'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037396/full/300,/0/default.jpg",https://wellcomecollection.org/works/w7ky3e8f
bead7zrp,31085i,"['Closed stores', 'Online']",Sarawak: three men standing by the Baram River. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Rivers', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Long Asai, Baram River""",,['f6nb37j5'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037448/full/300,/0/default.jpg",https://wellcomecollection.org/works/bead7zrp
t9hgtm4m,30758i,"['Closed stores', 'Online']",Sarawak: a tribal village by the Tinjar River. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Rivers', 'Ethnology', 'Malaysia.', 'Villages', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""a Sibop village, Tinjar River""",,['sw9jyjs2'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037443/full/300,/0/default.jpg",https://wellcomecollection.org/works/t9hgtm4m
d7mgbp8y,31629i,"['Closed stores', 'Online']",Sarawak: a Land Dayak chief. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Ethnology', 'Malaysia.', 'Dayak (Bornean people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""a Land Dayak chief, Upper Sadong River""",,['qfku86sc'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037472/full/300,/0/default.jpg",https://wellcomecollection.org/works/d7mgbp8y
eq8g7ayn,30153i,"['Closed stores', 'Online']","Kuching, Sarawak: the museum building. Photograph.",,Pictures,"1 photograph : photoprint, platinum ; 10.5 x 14.8 cm","['Platinum prints', 'Photographs']","['Museums', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""the museum, Kuching""",,['w7pnjkys'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037397/full/300,/0/default.jpg",https://wellcomecollection.org/works/eq8g7ayn
my9ybj4m,30714i,"['Closed stores', 'Online']",Sarawak: the Rejang River at the head of the Great Rapid. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Rivers', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""head of the Great Rapid in the Rejang River""",,['nf9un6cu'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037438/full/300,/0/default.jpg",https://wellcomecollection.org/works/my9ybj4m
rhnsvagn,30692i,"['Closed stores', 'Online']",Sarawak: the Dapoi River. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Rivers', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Dapoi River, Baram District""",,['pbt23459'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037436/full/300,/0/default.jpg",https://wellcomecollection.org/works/rhnsvagn
yu2dcsxy,31151i,"['Closed stores', 'Online']","Sarawak: musicians playing on a nose flute, a stringed instrument and gongs. Photograph.",,Pictures,"2 photographs : photoprints, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Musical instruments', 'Malaysia.', 'Tam-tam', 'Flute', 'Musicians', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Siduans playing on the nose flute and on a primitive stringed instrument (Busoi); Malay playing on gongs (Kromong)""",,['zgj85dzu'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037452/full/300,/0/default.jpg",https://wellcomecollection.org/works/yu2dcsxy
hqsnw2j6,30676i,"['Closed stores', 'Online']",Sarawak: three Kayan women of the Upper Rejang region. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Kayan (Bornean people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Kayan women of the Upper Rejang""",,['ub34x3b6'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037432/full/300,/0/default.jpg",https://wellcomecollection.org/works/hqsnw2j6
kggkctqb,31458i,"['Closed stores', 'Online']",Sarawak: a man placing offerings to the omen-birds on poles in the ground. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Manners and customs', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""offerings to the omen-birds""",,['yfv7dz9d'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037466/full/300,/0/default.jpg",https://wellcomecollection.org/works/kggkctqb
mhwvx3p4,30632i,"['Closed stores', 'Online']",Sarawak: a Sea Dayak woman. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Dayak (Bornean people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Sea Dayak woman""",,['rnunjk43'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037428/full/300,/0/default.jpg",https://wellcomecollection.org/works/mhwvx3p4
sdvffdgw,30644i,"['Closed stores', 'Online']",Sarawak: Sea Dayaks with weapons and head-dresses. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Dayak (Bornean people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Sea Dayaks""",,['gs2dzdxe'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037431/full/300,/0/default.jpg",https://wellcomecollection.org/works/sdvffdgw
thvkwv3e,31628i,"['Closed stores', 'Online']",Sarawak: a group of Long Sibatu Kenyah people. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Ethnology', 'Malaysia.', 'Kenyah (Southeast Asian people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Long Sibatu Kenyahs""",,['ka5wur2u'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037471/full/300,/0/default.jpg",https://wellcomecollection.org/works/thvkwv3e
ez5wzk8e,30178i,"['Closed stores', 'Online']",Sarawak: a line-up of armed Sarawak Rangers. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.5 x 14.8 cm","['Platinum prints', 'Photographs']","['Soldiers', 'Weapons', 'Armor', 'Armies', 'Malaysia', 'Malaysia. Tentera Darat']",,,,,['English'],,"Lettering on mount reads ""the Sarawak Rangers""",,['cwqzwt53'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037401/full/300,/0/default.jpg",https://wellcomecollection.org/works/ez5wzk8e
kdsb593j,30567i,"['Closed stores', 'Online']","Sarawak: Tama Bulan, a Kenyah chief. Photograph.",,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Portrait photographs', 'Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Kenyah (Southeast Asian people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Tama Bulan, a Kenyah chief""",,['dbmabjxu'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037418/full/300,/0/default.jpg",https://wellcomecollection.org/works/kdsb593j
ugfpe3gf,31642i,"['Closed stores', 'Online']",Sarawak: beehives hanging in a Sea Dayak's house. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Beehives', 'Dayak (Bornean people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""beehives in a Sea Dayak's house""",,['u3q4b3m3'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037474/full/300,/0/default.jpg",https://wellcomecollection.org/works/ugfpe3gf
yett9h83,30611i,"['Closed stores', 'Online']",Sarawak: three Kalabit women. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Kelabit (Southeast Asian people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Kalabit women""",,['tx27v3zn'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037427/full/300,/0/default.jpg",https://wellcomecollection.org/works/yett9h83
zckh74ds,31090i,"['Closed stores', 'Online']",Sarawak: two tribal chiefs and a Kenyah man. Photograph.,,Pictures,"3 photographs : photoprints, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Kenyah (Southeast Asian people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Aban Deng, a Long Wat chief; Jama, a Sibop chief; Kenyah of the Long Sibatu tribe""",,['wz3ghreg'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037449/full/300,/0/default.jpg",https://wellcomecollection.org/works/zckh74ds
e8rvb7u3,30691i,"['Closed stores', 'Online']",Sarawak: falls on the Baram River. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Rivers', 'Waterfalls', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""MacDougall Falls, 380 miles up the Baram River""",,['dgxpwncz'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037435/full/300,/0/default.jpg",https://wellcomecollection.org/works/e8rvb7u3
eyg83ekt,31375i,"['Closed stores', 'Online']",Sarawak: exterior view of the Baram Fort. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Fortification', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Baram Fort""",,['u55ratua'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037453/full/300,/0/default.jpg",https://wellcomecollection.org/works/eyg83ekt
k5zkkea3,31673i,"['Closed stores', 'Online']",Sarawak: a captive owl (Photodilus badius). Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 7.6 x 9.8 cm","['Platinum prints', 'Photographs']","['Birds', 'Owls', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Photodilus badius""",,['ss9paf9r'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037480/full/300,/0/default.jpg",https://wellcomecollection.org/works/k5zkkea3
ueudd9bn,,['Online'],Malayan black magic (Ilmu Sihir) charm intended to curse its recipient with a fatal illness.,,Digital Images,,,"['Witchcraft', '19th century', 'Malaya']",,1800-1899,,['Malaysia'],,"<p>Malayan black magic (Ilmu Sihir) charm intended to curse its recipient with a fatal illness. The Arabic letters surrounding the human figure are incantations and spells written in the language of Djinns and Syaitan (demonic spirits). from the Hervey Collection of Malay manuscripts, 19th century.  Wellcome Library no.: Wellcome MS Malayan 2E.</p>",,,['xpvdbp5j'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/thumbs/b21249349_L0035007.JP2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/ueudd9bn
ca75cj76,30188i,"['Closed stores', 'Online']",Sarawak: two Kenyah people boring a blowpipe. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Kenyah (Southeast Asian people)', 'Saraks', 'Ethnology', 'Malaysia.', 'Blowguns', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Kenyahs boring a blowpipe""",,['kvjrkqxp'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037402/full/300,/0/default.jpg",https://wellcomecollection.org/works/ca75cj76
ehzaazgk,30501i,"['Closed stores', 'Online']",Sarawak: two Sea Dayaks at a cockfight. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Chickens', 'Cockfighting', 'Dayak (Bornean people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Sea Dayaks cock fighting""",,['jg9wzhrj'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037413/full/300,/0/default.jpg",https://wellcomecollection.org/works/ehzaazgk
hwykz4q8,30466i,"['Closed stores', 'Online']",Sarawak: a Kalabit smithy. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Blacksmiths', 'Kelabit (Southeast Asian people)', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""a Kalabit smithy""",,['rvbcez9a'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037410/full/300,/0/default.jpg",https://wellcomecollection.org/works/hwykz4q8
