id,sierra-system-no,referenceNumber,availabilities,title,alternativeTitles,workType,physicalDescription,genres,subjects,contributors,production.dates,production.agents,production.places,languages,description,lettering,duration,images,thumbnail.license.label,thumbnail.url,collection.url
n724ap9w,b19727318,SA/ICM/M/5/9,['Closed stores'],"Report of the West Asia Working Party Kuala Lumpur, Malaysia",,Archives and manuscripts,1 file Paper,,,,17-25 October 1975,,,['English'],,,,,,,https://wellcomecollection.org/works/n724ap9w
wvxy4xec,b19416477,PP/PCG/D/90/32-41,,"Yap Loy Fong, Institute of Medical Research Kula Lampur, Malaysia",,Archives and manuscripts,1 File,,,,1976-1977,,,,,,,,,,https://wellcomecollection.org/works/wvxy4xec
wxd3nhf8,b33185773,WT/D/1/20/1/45/24,"['Online', 'Closed stores']","M0005511: Peace-making between the Baram and Batang Kayan tribes, Marudi, Malaysia","['Previous title, replaced November 2021: Peace-making between the Baran and Batang Kayan tribes']",Archives and manuscripts,1 photograph glass plate negative; 12 x 16.5 cm,,['Indigenous peoples'],,4 August 1938,,,,"Reproduction of a group photograph taken at Claudetown (now Marudi), Malaysia. Published in Hose, Charles: <i>The pagan tribes of Borneo</i>, London, 1912. A print of the photograph was acquired by the Wellcome Historical Medical Museum and accessioned in 1938 (accession number PHO 10798).",,,,Public Domain Mark,"https://iiif.wellcomecollection.org/thumbs/b33185773_0001.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/wxd3nhf8
hvphswu2,b18711509,PP/CDW/H.9,['Closed stores'],"K Elliott re Hospital assistants in Malaysia, paper by Kris Heggenhougen, University of California",,Archives and manuscripts,1 file,,,,Sep 1978,,,,,,,,,,https://wellcomecollection.org/works/hvphswu2
n7dfgej3,b11793077,21439i,"['Closed stores', 'Online']","Chinese people driving away evil spirits at Malacca, Malaysia. Wood engraving by D. Macpherson, 1891.",,Pictures,1 print : wood engraving ; image 18.7 x 19.7 cm,['Wood engravings'],"['Exorcism', 'Fire', 'Ritual', 'Rites and ceremonies', 'Spirits', 'Demonology', 'Costume', 'Malaysia', 'History', '19th century', 'Malacca (Malacca, Malaysia)']","['MacPherson, Douglas, 1871-1951.']","[London] : The Daily Graphic, 12 November 1891.",['The Daily Graphic'],['[London]'],['English'],,"Casting out demons at Malacca: burning the junk by which the evil spirits are returned to their native regions. D. Macpherson.

The print has extensive accompanying text which describes the incident",,['w8j7zfvb'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0015981/full/300,/0/default.jpg",https://wellcomecollection.org/works/n7dfgej3
tqg2ramj,b18417620,MS.7679,['Closed stores'],Voyage from Birkenhead to the Dutch East Indies and Malaysia on M.V. <i>Stentor</i>,,Archives and manuscripts,1 volume,,,,1934,,,,"<p>The voyage touches at Port Said and passes through the Suez Canal before calling at Padang, Batavia [Djakarta], Surabaya, various other ports in Java, Balik Passan (Borneo), Singapore, Port Swettenham (driving up to Kuala Lumpur) and Penang, then returning to Tilbury via Colombo and Suez.
</p><p>97ff. (85v-97v blank), plus summary of voyage on inside rear cover (numbered f.98).</p>",,,,,,https://wellcomecollection.org/works/tqg2ramj
gy7u4rup,b30060448,WTI/DPB/C/2/4,,"Peptic Ulcer Survey. Questionnaires filled in by hospitals: India, Nepal, Malaysia, West Pakistan, Afghanistan, Korea, Papua",,Archives and manuscripts,7 files,,,,1974-1975,,,,The seven files in this sub-series were all originally in one box-file.,,,,,,https://wellcomecollection.org/works/gy7u4rup
dv5ar6q7,b15687284,568728i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: an arcade of shops with a road sweeper at work in the street. Photograph, 1915/1925.",,Pictures,1 photograph : photoprint ; sheet 15.5 x 20.2 cm,['Photographic prints'],['Kuala Lumpur (Malaysia)'],,1915-1925,,['Malaysia'],['English'],,Neighbourhood in which sporadic plague and urban tropical typhus occur. Shows the open drain which runs in front of the houses being swept out. Presented by Dr. William Fletcher,,['yvxs8x7m'],In copyright,"https://iiif.wellcomecollection.org/image/V0030511/full/300,/0/default.jpg",https://wellcomecollection.org/works/dv5ar6q7
jaez9bre,b15687314,568731i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: a food shop interior with Malay staff, where an outbreak of typhus occurred. Photograph, 1915/1925.",,Pictures,1 photograph : photoprint ; sheet 15.5 x 20.2 cm,['Photographic prints'],['Kuala Lumpur (Malaysia)'],,1915-1925,,['Malaysia'],['English'],,A native food-shop where urban tropical typhus occurred,,['nbmpq2n4'],In copyright,"https://iiif.wellcomecollection.org/image/V0030513/full/300,/0/default.jpg",https://wellcomecollection.org/works/jaez9bre
mxk4kxbf,b15642471,564247i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: three men in pale-coloured suits holding up pipes blocked with grass roots. Photograph, 1910/1920 (?).",,Pictures,1 photograph : photoprint ; sheet 10.7 x 13.9 cm,['Photographic prints'],,,1910-1920,,['Malaysia'],['English'],,"Anti-malarial work, Kuala Lumpur. Showing blockage of pipes by grass roots, the result of laying pipes less than three feet below the surface. From Dr. A.R. Wellington",,['r8w8q98y'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0030273/full/300,/0/default.jpg",https://wellcomecollection.org/works/mxk4kxbf
svsfqjhm,b15687181,568718i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: busy street scene showing the K. Mohamed Kassim eating house where a case of typhus occurred. Photograph, 1915/1925.",,Pictures,1 photograph : photoprint ; sheet 15.5 x 20.2 cm,['Photographic prints'],['Kuala Lumpur (Malaysia)'],,1915-1925,,['Malaysia'],['English'],,An eating house where a case of urban tropical typhus occurred,,['hk5bfnjz'],In copyright,"https://iiif.wellcomecollection.org/image/V0030512/full/300,/0/default.jpg",https://wellcomecollection.org/works/svsfqjhm
engdtg4e,b19117619,RAMC/1920/9,,"Typescript of ""The silvered leaf-monkey of Malaysia, Presbytis cristatus, as a disease model for melioidosis"", by Lieutenant J. Roy Donaldson, RAMC",,Archives and manuscripts,1 part-file (items 9-10 form a single file),,,,Post 1973,,,,,,,,,,https://wellcomecollection.org/works/engdtg4e
mtvvvkma,b18675025,RAMC/1920/10,,"Typescript of ""Pseudomonas Pseudomallei and Chromobacterium violaceum in the growing areas of Malaysia; a reappraisal"", by Lieutenant Colonel J. Roy Donaldson, RAMC",,Archives and manuscripts,1 part-file (items 9-10 form a single file),,,,post 1973,,,,,,,,,,https://wellcomecollection.org/works/mtvvvkma
nqa7k8kw,b1922705x,PP/CDW/M.7,['Closed stores'],"Singapore and Malaysia c.1946-1948: malnourished children, child partially decapitated by Japanese, general views of scenery, people, villages, health service personnel",,Archives and manuscripts,164 photographs,,,,c.1946-1948,,,,,,,,,,https://wellcomecollection.org/works/nqa7k8kw
wmmtu6rn,b29081804,PP/WRO/B/3/23,['Closed stores'],Band 3 (AE1) mutations associated with distal renal tubular acidosis (dRTA) and Southeast Asian ovalocytosis (SAO) in Malaysia and Papua New Guinea (PNG) - Presentation,,Archives and manuscripts,1 File,,,,c. 2000,,,,"This file contains presentation materials, including photographs, and text for poster board.",,,,,,https://wellcomecollection.org/works/wmmtu6rn
dxz9hws9,b16780747,678074i,"['Closed stores', 'Online']","A message about AIDS prevention in red and yellow Malay lettering against a blue background by the Kementerian Kesihatan Malaysia (Malaysian Ministry of Health). Colour lithograph, 1991.",,Pictures,"1 print : lithograph, printed in colours ; sheet 59.4 x 41.8 cm","['Posters', 'Lithographs']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Malaysia']",,"(Malaysia) : Kementerian Kesihatan Malaysia, 1991.",['Kementerian Kesihatan Malaysia'],['(Malaysia)'],['Malay'],,"AIDS Pembunuh ... Oaptakan Nasihat doktor anda jika ada kemusykilan. Diterbit oleh Unit Pelajaran Kesihatan, Kementerian Kesihatan Malaysia.

Lettering in Malay - not translated",,['zrukwux6'],In copyright,"https://iiif.wellcomecollection.org/thumbs/b16780747_l0054541.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/dxz9hws9
a6meam8j,b15687338,568733i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: a food shop with Malay staff, showing open sacks and boxes of produce, in an urban area prone to outbreaks of typhus. Photograph, 1915/1925.",,Pictures,1 photograph : photoprint ; sheet 15.5 x 20.2 cm,['Photographic prints'],['Kuala Lumpur (Malaysia)'],,1915-1925,,['Malaysia'],['English'],,Cases of urban tropical typhus have occurred in the neighbourhood of this shop. Presented by Dr. William Fletcher,,['b75pd3k3'],In copyright,"https://iiif.wellcomecollection.org/image/V0030514/full/300,/0/default.jpg",https://wellcomecollection.org/works/a6meam8j
nrqhc7ea,b19345677,SA/ASH/U/168,['Closed stores'],"Australia, Austria, Belgium, Bulgaria, Canada, China, Denmark, Estonia, Finland, France, Germany, Hong Kong, Hungary, Iceland, India, Ireland, Israel, Italy, Japan, Kenya, Malaysia, New Zealand, Norway, Oman, Russia, Singapore, South Africa, South Korea, Spain and Switzerland",,Archives and manuscripts,1 File,,,,2001,,,,"Press cuttings from 2001, concerning smoking related issues in Australia, Austria, Belgium, Bulgaria, Canada, China, Denmark, Estonia, Finland, France, Germany, Hong Kong, Hungary, Iceland, India, Ireland, Israel, Italy, Japan, Kenya, Malaysia, New Zealand, Norway, Oman, Russia, Singapore, South Africa, South Korea, Spain and Switzerland",,,,,,https://wellcomecollection.org/works/nrqhc7ea
ksmvzyjm,b16766210,676621i,"['Closed stores', 'Online']","Numerous makes of condom from across the world from 'Tulipan' condoms in Argentina to 'King' condoms in Malaysia; with a message about safety when travelling abroad 'Travel against HIV ... The safest course is to bring condoms from Norway'; a safe-sex and AIDS prevention advertisement by the Landsforeningen MOT AIDS, RFSU Norge AS and LNU. Colour lithograph by Jensen-Grey, 1992.",,Pictures,"1 print : lithograph, printed in colours ; sheet 99.9 x 69.8 cm","['Lithographs', 'Posters']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Safe sex in AIDS prevention', 'Condoms', 'Oslo (Norway)']",,"[Oslo (Norway)] : [publisher not identified], 6/[19]92.",['[publisher not identified]'],['[Oslo (Norway)]'],['English'],,"Reiseforsikringen mot HIV. Landsforeningen MOT AIDS, RFSU Norge AS, LNU. NB! Det sikreste er å ta med kondomer fra norge. Takk til: Helsedirektoratet, UNI Storebrant A/S, Postparebanken, Europeiske Reiseforsikring A/S, Prosjekt HIV Reiseliv/Bergen kommune og Jensen-Grey A/S. Jensen-Grey. Reclamo Ryen 6.92.

Bears logo: RFSU (the Swedish Association for Sexuality Education) Norge AS

Bears logo: AIDS Landsforeningen Mot (Norwegian AIDS Association)

Bears logo: LNU (The Norwegian Children and Youth Council)

Includes text on how HIV is transmitted through unsafe intercourse translated in English, Norwegian, French, Russian and German.",,['fqpa4cq2'],Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),"https://iiif.wellcomecollection.org/thumbs/b16766210_l0054378.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/ksmvzyjm
num4zbqk,b20171407,,['Closed stores'],ANOC : ANOC Neuroscience and Orthopaedic Centre.,,Ephemera,"1 folded sheet (6 pages) : color illustrations, map ; 21 cm","['Ephemera', 'Leaflets']","['Medical Tourism', 'Nervous System Diseases', 'Neurosurgery', 'Orthopedics', 'Magnetic Resonance Imaging', 'Spine', 'surgery', 'Kuala Lumpur (Malaysia)', 'ANOC Neuroscience and Orthopaedic Centre']","['ANOC Neuroscience and Orthopaedic Centre.', 'Advanced Neuroscience and Orthopaedic Clinic (Kuala Lumpur, Malaysia)']","Kuala Lumpur : ANOC Neuroscience and Orthopaedic Centre, [2013?]",['ANOC Neuroscience and Orthopaedic Centre'],['Kuala Lumpur'],['English'],,,,,,,https://wellcomecollection.org/works/num4zbqk
fpde7sgu,b32217006,SA/HEC/B/34/110,['Closed stores'],"Report on elective posting to Sarawak, east malaysia",,Archives and manuscripts,1 file,,,['Health Education Council'],1984-1985,,,,Medical student elective report,,,,,,https://wellcomecollection.org/works/fpde7sgu
vxrh8kjt,b31533863,SA/DRS/G/6/1,['Closed stores'],Centre for Drug Research,,Archives and manuscripts,1 File,,"['Heroin', 'Education', 'Drugs']",,1988,,,,"<p></p>Ran in conjunction with the University of Malaysia. Reports on heroin addiction and Naltrexone dosage.<p></p>

<p></p>Keywords: Drugs; Education; Information Services<p></p>",,,,,,https://wellcomecollection.org/works/vxrh8kjt
wp4x8yyd,b18445044,RAMC/1870/1,,Group photograph of Queen's Birthday Parade contingent,,Archives and manuscripts,1 file,,,,1956,,,,,,,,,,https://wellcomecollection.org/works/wp4x8yyd
wsne5mqx,b18304400,RAMC/1870/3,,Souvenir of Christmas celebrations,,Archives and manuscripts,1 file,,,,1956,,,,,,,,,,https://wellcomecollection.org/works/wsne5mqx
xadyxhk2,b1829487x,RAMC/1870/2,,Two photographs of football team,,Archives and manuscripts,1 file,,,,1956 - 1957,,,,,,,,,,https://wellcomecollection.org/works/xadyxhk2
wjznvnaj,b11886067,30767i,"['Closed stores', 'Online']",Sarawak: two Lisum women. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Lisum women, Rejang District""",,['y7xt93r5'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037445/full/300,/0/default.jpg",https://wellcomecollection.org/works/wjznvnaj
vr4g2qa6,,,"['Online', 'Closed stores']",MS Malay 2 part 7,,Archives and manuscripts,"Material: paper; 12 pp.; leaf dimensions: width 21 cm, height 34 cm",,,,Malaysia,,['Malaysia'],['Malay'],"Two notes on the magician's activity in relation to tin mining, collected in a government file. 
                                The notes on the file indicated they were collected in response from to an inquiry from Hervey 
                                of 29 July 1892. The notes have been romanized by Mohammed Jaafar;
                                the Arabic originals are missing.",,,,Public Domain Mark,"https://iiif.wellcomecollection.org/thumbs/b14850047_wms_malay_2_b14850047_0001.JP2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/vr4g2qa6
ee7xsqfz,b11884812,30641i,"['Closed stores', 'Online']",Sarawak: a Ukit man. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Portrait photographs', 'Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Lujai, an Ukit of the Upper Rejang""",,['cxatbcpa'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037430/full/300,/0/default.jpg",https://wellcomecollection.org/works/ee7xsqfz
jfj5dxn2,b11885257,30686i,"['Closed stores', 'Online']",Sarawak: people of the Sibuyaus tribe from the Lundu region. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Sibuyaus of Lundu""",,['ncpp4sx3'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037434/full/300,/0/default.jpg",https://wellcomecollection.org/works/jfj5dxn2
jun3e728,b11884460,30606i,"['Closed stores', 'Online']",Sarawak: people of a Long Pokun tribe from the Upper Tinjar region. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Group portraits', 'Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Long Pokuns, Upper Tinjar""",,['bwxzzz5p'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037425/full/300,/0/default.jpg",https://wellcomecollection.org/works/jun3e728
mwfpmeru,b11884757,30635i,"['Closed stores', 'Online']",Sarawak: a Ukit man. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Portrait photographs', 'Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Lujai, an Ukit of the Upper Rejang""",,['tkjx4dge'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037429/full/300,/0/default.jpg",https://wellcomecollection.org/works/mwfpmeru
twxp8pun,b11885208,30681i,"['Closed stores', 'Online']",Sarawak: a Bakatan man. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 14.6 x 10.3 cm","['Platinum prints', 'Photographs']","['Saraks', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""a Bakatan""",,['cnznby2q'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037433/full/300,/0/default.jpg",https://wellcomecollection.org/works/twxp8pun
ym46wrar,b11885816,30742i,"['Closed stores', 'Online']",Sarawak: a tribe by the Paran River in the Rejang district. Photograph.,,Pictures,"1 photograph : photoprint, platinum ; 10.3 x 14.6 cm","['Platinum prints', 'Photographs']","['Rivers', 'Ethnology', 'Malaysia.', 'Malaysia']",,,,,['English'],,"Lettering on mount reads ""Paran River, Rejang District""",,['xpnmz7q6'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0037441/full/300,/0/default.jpg",https://wellcomecollection.org/works/ym46wrar
