ACNO,Countries,Title,Description,label
A01032,['Vietnam'],The Bedroom,"A01032 THE RAKE'S PROGRESS 1931 (iv) THE BEDROOM Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6 3/4×9 (17×33). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
A01032,['Vietnam'],The Bedroom,"A01032 THE RAKE'S PROGRESS 1931 (iv) THE BEDROOM Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6 3/4×9 (17×33). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
A01033,['Vietnam'],The Departure,"A01033 THE RAKE'S PROGRESS 1931 (v) THE DEPARTURE Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6 3/4×8 1/4 (17×21). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
A01033,['Vietnam'],The Departure,"A01033 THE RAKE'S PROGRESS 1931 (v) THE DEPARTURE Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6 3/4×8 1/4 (17×21). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
N04940,['Vietnam'],Airing the Children,"N04940 AIRING THE CHILDREN c. 1930–1 Inscr. ‘E. Ardizzone’ b.l. Watercolour, pen and ink, 7 3/4×10 1/2 (19·5×26·5). Presented by Miss Lillian Browse 1938. Coll: Purchased by Miss Browse from the artist 1931. The artist wrote (7 October 1959) that the scene is Paddington Recreation Ground. He could not be sure when this was painted, but thought it to be a very early work, and added that the colour had faded considerably. Miss Browse told the compiler (12 and 15 October 1959) that she bought it direct from the artist, possibly from his first one-man show at the Leger Galleries in 1931, although no watercolour of this title appears in the catalogue. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
N04940,['Vietnam'],Airing the Children,"N04940 AIRING THE CHILDREN c. 1930–1 Inscr. ‘E. Ardizzone’ b.l. Watercolour, pen and ink, 7 3/4×10 1/2 (19·5×26·5). Presented by Miss Lillian Browse 1938. Coll: Purchased by Miss Browse from the artist 1931. The artist wrote (7 October 1959) that the scene is Paddington Recreation Ground. He could not be sure when this was painted, but thought it to be a very early work, and added that the colour had faded considerably. Miss Browse told the compiler (12 and 15 October 1959) that she bought it direct from the artist, possibly from his first one-man show at the Leger Galleries in 1931, although no watercolour of this title appears in the catalogue. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
N05671,['Vietnam'],"Priest Begging a Lift in Louvain, May 1940","N05671 PRIEST BEGGING A LIFT IN LOUVAIN, MAY 1940 1940 Inscr. ‘EA’ b.r. Watercolour, pen and ink (sight), 9 1/2×12 1/8 (24×30·5). Presented by the War Artists' Advisory Committee 1946. Exh: National War Pictures, National Gallery, 1940 (no catalogue). Lit: Douglas Cooper, ‘War Artists’ Exhibition at the National Gallery' in Burlington Magazine, LXXVII, 1940, p.133. Repr: British War Artists (issued by the National Gallery for the Ministry of Information), 1940, n.p.; Sir John Rothenstein, British Art since 1900, 1962, pl.24. Captain Ardizzone, as one of the first Official War Artists in 1940, was with the British Expeditionary Force at the time of the German advance through Holland and Belgium. In a letter to the compiler he wrote (7 October 1959): ‘Our troops had just retreated from the town [Louvain] having blown the bridges across the railway line. Enemy patrols were expected at any moment. The priest was not begging a lift for himself but for the few poor stragglers that remained. The town had been very intensively bombed by the Germans which accounted for the total exodus of its people.’ Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
N05671,['Vietnam'],"Priest Begging a Lift in Louvain, May 1940","N05671 PRIEST BEGGING A LIFT IN LOUVAIN, MAY 1940 1940 Inscr. ‘EA’ b.r. Watercolour, pen and ink (sight), 9 1/2×12 1/8 (24×30·5). Presented by the War Artists' Advisory Committee 1946. Exh: National War Pictures, National Gallery, 1940 (no catalogue). Lit: Douglas Cooper, ‘War Artists’ Exhibition at the National Gallery' in Burlington Magazine, LXXVII, 1940, p.133. Repr: British War Artists (issued by the National Gallery for the Ministry of Information), 1940, n.p.; Sir John Rothenstein, British Art since 1900, 1962, pl.24. Captain Ardizzone, as one of the first Official War Artists in 1940, was with the British Expeditionary Force at the time of the German advance through Holland and Belgium. In a letter to the compiler he wrote (7 October 1959): ‘Our troops had just retreated from the town [Louvain] having blown the bridges across the railway line. Enemy patrols were expected at any moment. The priest was not begging a lift for himself but for the few poor stragglers that remained. The town had been very intensively bombed by the Germans which accounted for the total exodus of its people.’ Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
N05672,['Vietnam'],"On a Fortified Island, the Night Watch","N05672 ON A FORTIFIED ISLAND, THE NIGHT WATCH 1941 Not inscribed. Watercolour, pen and ink (sight), 10 3/4×13 3/4 (26·5×25). Presented by the War Artists' Advisory Committee 1946. Exh: National War Pictures, provincial galleries and National Gallery, 1945 (no catalogue). Repr: William Coldstream, War Pictures by British Artists: Second Series: Soldiers, 1943, pl.25; Eric Newton, War through Artists' Eyes, 1945, p.16. The artist explained (letter of 7 October 1959) that ‘the island was Inchkeith in the Firth of Forth. It was heavily fortified and armed with a battery of large guns in concrete emplacements.’ Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
N05673,['Vietnam'],Soldiers Holding Up Rosaries to be Blessed at a Papal Audience,"N05673 SOLDIERS HOLDING UP ROSARIES TO BE BLESSED AT A PAPAL AUDIENCE 1944 Inscr. ‘EA.’ b.r. Watercolour, pen and ink (sight), 7 1/8×7 3/8 (18×19). Presented by the War Artists' Advisory Committee 1946. Exh: National War Pictures, R.A., October–November 1945 (789). Painted in September 1944. The painting records the scene at one of a number of Papal audiences that the Pope gave to English soldiers billeted in or near Rome (letter from the artist, 7 October 1959). Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
N05673,['Vietnam'],Soldiers Holding Up Rosaries to be Blessed at a Papal Audience,"N05673 SOLDIERS HOLDING UP ROSARIES TO BE BLESSED AT A PAPAL AUDIENCE 1944 Inscr. ‘EA.’ b.r. Watercolour, pen and ink (sight), 7 1/8×7 3/8 (18×19). Presented by the War Artists' Advisory Committee 1946. Exh: National War Pictures, R.A., October–November 1945 (789). Painted in September 1944. The painting records the scene at one of a number of Papal audiences that the Pope gave to English soldiers billeted in or near Rome (letter from the artist, 7 October 1959). Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
N05674,['Vietnam'],Scout Cars of a Regiment of Hussars Liberating a Stalag,"N05674 SCOUT CARS OF A REGIMENT OF HUSSARS LIBERATING A STALAG 1945 Inscr. on reverse, ‘Scout cars of a Regiment of Hussars liberating a Stalag’. Watercolour, pen and ink, 22 3/4×30 3/4 (58×78). Presented by the War Artists' Advisory Committee 1946. Exh: National War Pictures, National Gallery, 1945, and R.A., October–November 1945 (797). This records the liberation by the scout cars of the 8th Regiment of Hussars of a prison camp, Stalag 257, on 16 April 1945. The artist recalled (letter of 7 October 1959) that ‘Stalag 257 was enormous and consisted of several encampments. The part shown in the picture was one which contained men who had been in prison for a very long time. What was particularly pathetic about the scene was that, though the gates were thrown open, so many of the prisoners still clung to the wire as if unable to leave.’ Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
P06009,['Vietnam'],The Last Stand of the Spoons,,0
P06010,['Vietnam'],Model and Her Reflection,,1
P06011,['Vietnam'],Lovers by the Sea,,0
P06012,['Vietnam'],Boating Pond,,0
P06013,['Vietnam'],The Bullies,,1
T01066,['Vietnam'],View from the Window of My Studio in Kent,"Edward Ardizzone b.1900 T01066 VIEW FROM THE WINDOW OF MY STUDIO IN KENT 1967 Inscribed ‘E.A.’ b.r. Watercolour, pen and pencil, 10 3/8×16 (26·5×40·5). Chantrey Purchase from the artist 1968. Exh: R.A., 1968 (148). The artist wrote (15 January 1969) that this work was ‘painted from drawings made from the top floor of my cottage which overlooks an old orchard of mixed fruit trees’. The cottage is on Rodmersham Green near Sittingbourne, Kent. Published in: The Tate Gallery: Acquisitions 1968-9, London 1969",1
T01066,['Vietnam'],View from the Window of My Studio in Kent,"Edward Ardizzone b.1900 T01066 VIEW FROM THE WINDOW OF MY STUDIO IN KENT 1967 Inscribed ‘E.A.’ b.r. Watercolour, pen and pencil, 10 3/8×16 (26·5×40·5). Chantrey Purchase from the artist 1968. Exh: R.A., 1968 (148). The artist wrote (15 January 1969) that this work was ‘painted from drawings made from the top floor of my cottage which overlooks an old orchard of mixed fruit trees’. The cottage is on Rodmersham Green near Sittingbourne, Kent. Published in: The Tate Gallery: Acquisitions 1968-9, London 1969",1
P06645,['Vietnam'],Itinerant Singer,,0
P04256,['Myanmar'],Study,,0
T00396,['Myanmar'],Painting Brown and Black,"T00396 PAINTING BROWN AND BLACK 1960 Inscr. ‘Heath’ 60' b.r. Canvas, 50×40 (127×101). Purchased from the Hanover Gallery (Knapping Fund) 1960. Exh: Hanover Gallery, December 1960–January 1961 (5). Repr: John Rothenstein, The Tate Gallery, 1962, p.261. The artist wrote (14 January 1961) that the picture was painted in London in October 1960, ‘from a series of drawings and water-colours that I made during the summer of the same year at Hillhead in Hampshire’. However, the back of the canvas is inscribed: ‘Adrian Heath Sept. 60’, perhaps the date when the canvas was prepared. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
T00396,['Myanmar'],Painting Brown and Black,"T00396 PAINTING BROWN AND BLACK 1960 Inscr. ‘Heath’ 60' b.r. Canvas, 50×40 (127×101). Purchased from the Hanover Gallery (Knapping Fund) 1960. Exh: Hanover Gallery, December 1960–January 1961 (5). Repr: John Rothenstein, The Tate Gallery, 1962, p.261. The artist wrote (14 January 1961) that the picture was painted in London in October 1960, ‘from a series of drawings and water-colours that I made during the summer of the same year at Hillhead in Hampshire’. However, the back of the canvas is inscribed: ‘Adrian Heath Sept. 60’, perhaps the date when the canvas was prepared. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
T00396,['Myanmar'],Painting Brown and Black,"The painting is in oil on commercially primed canvas, and is unvarnished. The image is an abstract one, with almost figurative forms painted using brushy gestural strokes. There is no evidence that the composition was planned or drawn out before painting. Gaps of buff underlying paint have been left visible between adjacent blocks of colour such that these spaces provide delineation and outlines around the abstracted forms. The painting is well-bound and the artist does not appear to have diluted his paints significantly. The paint is fairly smooth and flat with little impasto except for slightly more loaded brush strokes created using a stiff bush and paste-like paint. There is some wet-in-wet work for example in areas where final touches of white paint have been painted over slightly wet brown and black paint, to create a layered partially blended effect. There is also evidence for paint applied over fully dried underlying passages, suggesting the painting was created over a period of time rather than in one sitting. The palette is dominated by brown (iron oxide) and black (bone black pigment), but streaks of bright red (cadmium red), pink and white provide contrast and interest. Castor wax was found as an additive in the oil paints which is a common tube paint additive used as a rheology modifier (to adjust the flow behaviour of paint, e.g. its viscosity) in modern oil paint formulations. Zinc soaps were found in the brown paint, which may also be present as a paint additive, used to give the paint a buttery consistency. Calcium carbonate (chalk) and barium sulphate have been found in the paints. These are common extender pigments used to bulk out manufactured tube paints. The painting is in excellent condition. Some small areas of cadmium red paints are water sensitive. Water sensitivity is commonly encountered in unvarnished oil paintings of the twentieth century and is an area of concurrent research (see the Cleaning Modern Oil Paints project). The painting is currently framed and unglazed. Further reading Jane Rye, Adrian Heath, Farnham, 2012.Adrian Heath, Adrian Heath: Five decades, exhibition catalogue, Jonathan Clark Fine Art, London, 2015.Adrian Heath, Abstract Painting: its origin and its meaning, Alec Tiranti, London. 1953 Judith LeeFebruary 2017 Research on this work was carried out as part of an AHRC funded Collaborative Doctoral Award at Tate, 2013–2016.",1
T00686,['Myanmar'],Drawing 1964 (Divided Blue),"Adrian Heath b. 1920 T00686 Drawing 1964 (Divided Blue) 1964 Inscr. ‘Heath ‘64’ b.r.Oil on paper, 30¼ x 22 (77 x 56).Purchased from the artist (Knapping Fund) 1964. The artist wrote (7 October 1964) that the drawing was ‘done to help with a large canvas called “Divided Blue” ’.The reference number for the drawing is J.D./3/DB. Published in The Tate Gallery Report 1964–1965, London 1966.",1
T01338,['Myanmar'],White Collage,"Heath’s London home provided an informal exhibition space for artists sometimes known as constructionists. They used a variety of found materials, and their compositions were often developed through an understanding of the process of growth in plants and animals, as well through theories of proportion. Heath emphasised the physical qualities of the work by building it up with blocks of thickly applied paint. In 1954 Heath wrote ‘The thing of interest is the actual life of the work: its growth from a particular white canvas or board… It is the process, the method of development that is the life of the painting.’",1
T01338,['Myanmar'],White Collage,"Adrian Heath 1920-1992 T01338 White Collage 1954 Inscribed ‘HEATH’ twice on stretcher.Oil, Ripolin and collage on canvas, 20 x 16 (50.8 x 40.5). Purchased from the artist (Gytha Trust) 1971. Exh: Collages and Objects, I.C.A., October–November 1954 (59) as ‘White Collage’ 1954; Abstraction in Modern Art, University of Sheffield, January 1956 (no catalogue traced). In a letter of 1 February 1972, the artist wrote that ‘At this period most of my pictures had included collage elements (card or thick paper) during the early stages. They were used like counters in a game to mark the state of development of a particular composition and they helped me to think in terms of area. I always liked the juxtaposition of “ready-made” surfaces with painted ones but I usually resorted to paint as being more permanent when colour was involved. “White Composition” was one of my first works to show an interest in curved forms.’ Published in The Tate Gallery Report 1970–1972, London 1972.",1
P77335,['Myanmar'],Composition - Black and Yellow,,0
T06661,['Myanmar'],"Composition, Blue, Black and Brown","This work was painted at a time when a number of English constructivist artists, including Heath, Kenneth and Mary Martin and Robert Adams met and exhibited at Heath's Fitzroy Street studio in London. Victor Pasmore, recently converted to abstraction, was at the centre of the group and Heath was influenced by Pasmore's switch to objective abstraction. The aim was to apply paint in a deliberately impersonal manner and collage was often used. In 1954, Heath wrote, 'The thing of interest is the actual life of the work: its growth from a particular white canvas or board... the problem is to exercise some logical or objective control on its gradual evolution'.",1
T06661,['Myanmar'],"Composition, Blue, Black and Brown","This work was painted at a time when a number of English constructivist artists, including Heath, Kenneth and Mary Martin and Robert Adams met and exhibited at Heath's Fitzroy Street studio in London. Victor Pasmore, recently converted to abstraction, was at the centre of the group and Heath was influenced by Pasmore's switch to objective abstraction. The aim was to apply paint in a deliberately impersonal manner and collage was often used. In 1954, Heath wrote, 'The thing of interest is the actual life of the work: its growth from a particular white canvas or board... the problem is to exercise some logical or objective control on its gradual evolution'.",1
T06661,['Myanmar'],"Composition, Blue, Black and Brown","Adrian Heath’s London home provided an informal exhibition space for artists sometimes known as Constructionists. The term highlighted the fact that many of their works were constructed from various materials but also referred to the fact that the compositions were developed by a process of growth. Heath wrote: ‘The thing of interest is the actual life of the work: its growth’. While his colleagues made actual reliefs, Heath emphasised the physical materiality of the work by building it up with blocks of thickly applied paint in a manner especially associated with the Parisian painter Serge Poliakoff.",0
P07531,['Indonesia'],Maria,"P07531 MARIA 1962 Inscribed ‘Anton Heyboer 1962’ bottom right and ‘MARIA’ and ‘4/9’ Two-sheet etching with paint, printed by the artist, overall size 39 3/4×47 7/8 (101.3× 121.3) Purchased from Galerie Espace, Amsterdam (Grant-in-Aid) 1981 Three unique prints [P07531, P07532 and P07533] from industrial zinc sheets made with colours mixed from soil, lead oxide (for red) and raw oil. Heyboer uses a tar ground and draws through it or scratches directly into the plate. He often adds paint, finger prints and small stamp impressions to the printed image. His imagery includes symbols and ideograms of his extraordinary life - he lives with four women in his own rural community. Published in: The Tate Gallery 1980-82: Illustrated Catalogue of Acquisitions, London 1984",1
P07531,['Indonesia'],Maria,"P07531 MARIA 1962 Inscribed ‘Anton Heyboer 1962’ bottom right and ‘MARIA’ and ‘4/9’ Two-sheet etching with paint, printed by the artist, overall size 39 3/4×47 7/8 (101.3× 121.3) Purchased from Galerie Espace, Amsterdam (Grant-in-Aid) 1981 Three unique prints [P07531, P07532 and P07533] from industrial zinc sheets made with colours mixed from soil, lead oxide (for red) and raw oil. Heyboer uses a tar ground and draws through it or scratches directly into the plate. He often adds paint, finger prints and small stamp impressions to the printed image. His imagery includes symbols and ideograms of his extraordinary life - he lives with four women in his own rural community. Published in: The Tate Gallery 1980-82: Illustrated Catalogue of Acquisitions, London 1984",1
P07532,['Indonesia'],Girl of Pleasure,"P07532 GIRL OF PLEASURE 1978 Inscribed ‘Anton Heyboer 1978’ bottom left and bottom right, and ‘Eigendruck’ Etching with paint, printed by the artist, 25 1/2×39 1/8 (64.8×99.5) Purchased from Galerie Espace, Amsterdam (Grant-in-Aid) 1981 Three unique prints [P07531, P07532 and P07533] from industrial zinc sheets made with colours mixed from soil, lead oxide (for red) and raw oil. Heyboer uses a tar ground and draws through it or scratches directly into the plate. He often adds paint, finger prints and small stamp impressions to the printed image. His imagery includes symbols and ideograms of his extraordinary life - he lives with four women in his own rural community. Published in: The Tate Gallery 1980-82: Illustrated Catalogue of Acquisitions, London 1984",1
P07532,['Indonesia'],Girl of Pleasure,"P07532 GIRL OF PLEASURE 1978 Inscribed ‘Anton Heyboer 1978’ bottom left and bottom right, and ‘Eigendruck’ Etching with paint, printed by the artist, 25 1/2×39 1/8 (64.8×99.5) Purchased from Galerie Espace, Amsterdam (Grant-in-Aid) 1981 Three unique prints [P07531, P07532 and P07533] from industrial zinc sheets made with colours mixed from soil, lead oxide (for red) and raw oil. Heyboer uses a tar ground and draws through it or scratches directly into the plate. He often adds paint, finger prints and small stamp impressions to the printed image. His imagery includes symbols and ideograms of his extraordinary life - he lives with four women in his own rural community. Published in: The Tate Gallery 1980-82: Illustrated Catalogue of Acquisitions, London 1984",1
P07533,['Indonesia'],Four Women,"P07533 FOUR WOMEN 1980 Inscribed ‘Anton Heyboer 1980’ bottom centre and ‘vier vrouwen ziln’ Etching with paint, printed by the artist, 25 1/4×16 1/8 (64.2×41) Purchased from Galerie Espace, Amsterdam (Grant-in-Aid) 1981 Three unique prints [P07531, P07532 and P07533] from industrial zinc sheets made with colours mixed from soil, lead oxide (for red) and raw oil. Heyboer uses a tar ground and draws through it or scratches directly into the plate. He often adds paint, finger prints and small stamp impressions to the printed image. His imagery includes symbols and ideograms of his extraordinary life - he lives with four women in his own rural community. Published in: The Tate Gallery 1980-82: Illustrated Catalogue of Acquisitions, London 1984",1
